transformer_id,timestamp,load,temperature,voltage,current,power,failure
39,2023-01-01 00:00:00,117.37118255958384,31.39792571598081,,138.69019847366147,33.02673532425168,0
29,2023-01-01 01:00:00,61.51922836001002,31.188587460013423,,68.29030355917965,15.632022940805832,0
15,2023-01-01 02:00:00,62.93146512528008,42.75124836386083,247.31924682322398,70.57474699484486,17.45449327150462,0
43,2023-01-01 03:00:00,29.4667574051332,35.34851157365911,208.82991947793653,29.839226047185505,6.231323172717695,0
8,2023-01-01 04:00:00,81.42387841135924,35.38119113840787,233.76177551283735,71.22246982187315,16.649091001970543,0
21,2023-01-01 05:00:00,,34.10100277424234,,75.19733982866246,18.30434807953838,0
39,2023-01-01 06:00:00,58.740126569286666,28.88008966628415,231.05339044829395,59.90293609406441,13.840776482341065,0
19,2023-01-01 07:00:00,68.36298537023885,38.37848474697194,,73.24189444810824,17.06708895785902,0
23,2023-01-01 08:00:00,43.775579796497695,37.04725260962812,225.65988187432993,45.66159132442107,10.303989304462785,0
11,2023-01-01 09:00:00,93.96889905663372,35.84345662669716,230.20688507866618,89.98378437973744,20.714886709649694,0
11,2023-01-01 10:00:00,60.206010509433796,34.41838480361871,,54.554185890779905,11.635394990321702,0
24,2023-01-01 11:00:00,,33.53840175330856,222.81568667380307,104.0750804737768,23.18956052139589,1
36,2023-01-01 12:00:00,,39.56241694773708,222.13244872897772,71.64332878567286,15.91430805825677,0
40,2023-01-01 13:00:00,54.807623179033804,34.293534683969526,236.69123991029298,57.995205480013695,13.726957093916658,0
24,2023-01-01 14:00:00,61.75373762530276,,224.28630240712266,66.38211766074821,14.888599716083771,0
3,2023-01-01 15:00:00,,37.649465774418864,224.5752445006018,39.631439245378424,8.900240158441605,0
22,2023-01-01 16:00:00,79.64543781405885,36.03980465340193,226.2207663971486,72.07618461703943,16.30512972304903,0
2,2023-01-01 17:00:00,61.602006004417554,43.21138028770219,222.51355297484682,68.00174794396862,15.131310543512443,0
24,2023-01-01 18:00:00,92.62505580795477,26.193166112633477,232.69022269261697,102.76369790343547,23.912107749867218,0
44,2023-01-01 19:00:00,64.50505009651165,,,63.35986288821814,14.812035245545626,0
30,2023-01-01 20:00:00,97.68884223371293,31.471971097639155,238.2501857972176,102.0615544265702,24.316184304883187,0
38,2023-01-01 21:00:00,85.14911498634082,30.289567326225352,236.52750082287943,80.84123952480384,19.12117634822563,0
2,2023-01-01 22:00:00,70.57193553436689,32.71467896977826,235.527577449847,76.27265744964723,17.964314234777436,0
21,2023-01-01 23:00:00,101.60465174701642,,226.71031666002557,115.24900211156012,26.12813776346375,1
33,2023-01-02 00:00:00,89.0458692207442,,226.06896249662123,95.75042753939312,21.64619981243851,0
12,2023-01-02 01:00:00,120.0,27.413468921607535,221.28788997651543,120.60396608866255,26.688197178559356,0
22,2023-01-02 02:00:00,,32.2945808516109,221.107563111059,60.788739688813884,13.440850097186152,0
44,2023-01-02 03:00:00,71.53232210916921,36.406107757382294,231.9426140967926,75.6045041555938,17.535906331340243,0
25,2023-01-02 04:00:00,101.37418022021859,,222.8058395921992,108.66545291251917,24.21129747084042,0
49,2023-01-02 05:00:00,39.12924376329775,29.426080476417425,244.68324133355958,40.04845924799955,9.7991868192155,0
27,2023-01-02 06:00:00,96.33887126465125,23.719338462535276,229.62499176925508,101.15359036748482,23.2273923555643,0
